hotelId,name,city,postalCode,street,email,phoneNumber,category,numberOfRooms,image,hotelChainId,managerId
"01GW8S5TTSW8R3G1CRRFVQQF7F","Sunset Resort","Barcelona","A1B2C3","23 Maple Avenue","info@sunsetresort.com","416-555-0192",3,5,"https://images.unsplash.com/photo-1618773928121-c32242e63f39?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","01GW8PRR8TZNHQYA8KB4YDNYD2","01GW8WHMDSFS201Q9K4KGDWRSC"
"01GW8S5TTSE89W7E20QCFNQFFE","Sapphire Hotel","Barcelona","L6A4E2","14 Birch Street","reservation@sapphirehotel.com","905-555-0145",5,5,"https://images.unsplash.com/photo-1566073771259-6a8506099945?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","01GW8PRR8TZNHQYA8KB4YDNYD2","01GW8WHMDW77Q4Z9XMMXV2MRNA"
"01GW8S5TTTVHCMSH9VZREBEZ53","Oceanfront Lodge","Amsterdam","N4G6H8","45 Cedar Lane","contact@oceanfrontlodge.com","613-555-0218",4,5,"https://images.unsplash.com/photo-1582719508461-905c673771fd?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1025&q=80","01GW8PRR8TZNHQYA8KB4YDNYD2","01GWFN947GGQK7XCA2NHC2J9QD"
"01GW8S5TTTMRPC60MYVF6A84D2","Blue Horizon Resort","Amsterdam","V5S2P6","421 Oak Avenue","info@bluehorizonresort.com","902-555-0167",1,5,"https://pix10.agoda.net/hotelImages/532100/3047466/042a520c3d8e04d4e39846b9fd218745.jpg?ca=17&ce=1&s=1024x768","01GW8PRR8TZNHQYA8KB4YDNYD2","01GWFN948J5F0HWKYMSYKG3JV4"
"01GW8S5TTTB2S8JFT5A9TSXAYT","Grand View Inn","Rio de Janeiro","M9W1S7","54 Elm Street","reservations@grandviewinn.com","514-555-0113",2,5,"https://plus.unsplash.com/premium_photo-1678286769630-4ea3d6878dfb?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","01GW8PRR8TZNHQYA8KB4YDNYD2","01GWFN948GV7GJTE5J3FZ23G4K"
"01GW8S5TTTYTKWTR0SC2JHNR8X","Palm Oasis Hotel","Rio de Janeiro","K7M5V1","32 Willow Lane","info@palmoasishotel.com","450-555-0158",5,5,"https://images.unsplash.com/photo-1568084680786-a84f91d1153c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1074&q=80","01GW8PRR8TZNHQYA8KB4YDNYD2","01GWFN948FBNS7QCJK0NTWBXQ9"
"01GW8S5TTTV0K1HGV32RCJWF6B","Seaside Retreat","San Francisco","G1V2J3","67 Pine Street","contact@ seasideretreat.com","647-555-0176",4,5,"https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","01GW8PRR8TZNHQYA8KB4YDNYD2","01GWFN948EJHJH53E6VQ9A577S"
"01GW8S5TTTGKXE0SK5ZKT7CTR9","Island Paradise Resort","San Francisco","V9Y8J2","56 Magnolia Drive","reservations@islandparadiseresort.com","902-555-0185",2,5,"https://images.unsplash.com/photo-1551632436-cbf8dd35adfa?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1471&q=80","01GW8PRR8TZNHQYA8KB4YDNYD2","01GWFN948DCMSHEN3WJ6VZ0E6G"
"01GW8S5TTTD6S1KNCMQJ85AF1W","Mountain Top Lodge","Montreal","L3P2P7","21 Chestnut Road","info@mountaintoplodge.com","418-555-0147",4,5,"https://images.unsplash.com/photo-1606402179428-a57976d71fa4?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1074&q=80","01GW8ZN0GQT8K4PEZXMDH16FAR","01GWFN948CDF7NF61DPM95F8JV"
"01GW8S5TTTK9VE8026WNWW1A98","Emerald Suites","Montreal","H1N3V1","76 Sycamore Lane","reservations@emeraldsuites.com","902-555-0114",5,5,"https://images.unsplash.com/photo-1578774204375-826dc5d996ed?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80","01GW8ZN0GQT8K4PEZXMDH16FAR","01GWFN948B7DXBZTHGM43RQBZE"
