positionId,positionTitle,employeeId
"01GW8WTZ7WGDJQ1B535ATDK5E7","Manager","01GW8WHMDSFS201Q9K4KGDWRSC"
"01GW8WTZ7XE35SVYRT5Z74T15R","Manager","01GW8WHMDW77Q4Z9XMMXV2MRNA"
"01GW8WTZ7XBGWZQDMK9X5XJH9Z","Manager","01GWFN947GGQK7XCA2NHC2J9QD"
"01GW8WTZ7X0RMZC8RJVWZDERKC","Manager","01GWFN948J5F0HWKYMSYKG3JV4"
"01GW8WTZ7XXT135F48KB0WZM6C","Manager","01GWFN948GV7GJTE5J3FZ23G4K"
"01GW8WTZ7XET2MH88MM6CKYSR4","Manager","01GWFN948FBNS7QCJK0NTWBXQ9"
"01GW8WTZ7XMQVE1A6Q92DCPNP4","Manager","01GWFN948EJHJH53E6VQ9A577S"
"01GW8WTZ7YTWN13HDB21KNTV0G","Manager","01GWFN948DCMSHEN3WJ6VZ0E6G"
"01GW8WTZ7Y1PZXTQCJQG2KVX1V","Manager","01GWFN948CDF7NF61DPM95F8JV"
"01GW8WTZ7Y2FDH3ZSY6F9KN64P","Manager","01GWFN948B7DXBZTHGM43RQBZE"
"01GW8WTZ7YYDH42TX2VKTNVKJB","Manager","01GWFN948A309ZNB44F3XHYZ09"
"01GW8WTZ7YEB0AE5S22RZ3FDK7","Manager","01GWFN9488XWQ5KR10E9SV40X9"
"01GW8WTZ7YG6YZS60201FTQMN8","Manager","01GWFN9487RS4V9ME5JW54NHZK"
"01GW8WTZ7Y7GQC7FCTJMD6JEZ8","Manager","01GWFN9486JV4TH70NBCDZKQ1D"
"01GW8WTZ7Y0G7PPAYX7M7A35CE","Manager","01GWFN94854B0HF0HEWZSX3GHE"
"01GW8WTZ7Z759MDQRQZ884EE71","Manager","01GWFN94843G7R2NRZ2BP57P77"
"01GW8WTZ7Z2K9CDWTCP6EF29AZ","Manager","01GWFN9482W4415DM3GNVSKSXV"
"01GW8WTZ7ZDEA8C30X80YJJ9KF","Manager","01GWFN9481ND2GCBBEPBJQD6ZH"
"01GW8WTZ7ZFTF8B3XWV23WJYCD","Manager","01GWFN94803Y3RXS639S7SKV82"
"01GW8WTZ7ZJQ7W24QFV9GN24KS","Manager","01GWFN947YQY3PEEBCAJHS4V6N"
"01GW8WTZ7ZN95EHQK37XVP61YD","Manager","01GWFN947XD3G6ZDZ2WAJJ4JY1"
"01GW8WTZ7ZBMSBC4PYXBJ6XKJZ","Manager","01GWFN947W9A7NN2N9BEEA3J5B"
"01GW8WTZ80XPKR2EXRWVGN6ZGF","Manager","01GWFN947TCN3G5AYAVTR35VB3"
"01GW8WTZ80Y13DGWPA67C9Y0QY","Manager","01GWFN947RPPJK3GYAEZM9PAPP"
"01GW8WTZ804PAP1W424M8W3N30","Manager","01GWFN947QAE01YMBK465RWHN2"
"01GW8WTZ80EDMWSY4XXXYPM43Z","Manager","01GWFN947NQTC9F25T9F8WRR3P"
"01GW8WTZ8083RQ8NKJ87Q0E6X6","Manager","01GWFN947MEQX2P6GRJQ0FN6Y5"
"01GW8WTZ80TW7F7P99X95BD321","Manager","01GWFPMJGB6FJVAFMZ4FXWJRWN"
"01GW8WTZ80AN9Z62ND0Y48441D","Manager","01GWFQ2GJ19E6PTT0TV0MQ5REA"
"01GW8WTZ80J6XXKWN45YVTVE7X","Manager","01GWFQ2GJ23B0JZN7SCNQEFD3K"
"01GW8WTZ8062PJA8ST3WVZXH6Y","Manager","01GWFQ2GJ2TQX8HQ8AQPANR4SF"
"01GW8WTZ81GQ49214E7A7PDXMH","Manager","01GWFQ2GJ3NGYGRH11JQ8KXWNW"
"01GW8WTZ819PK8M0A66J1F9W3C","Manager","01GWFQ2GJ4H8KZXP4M15JCM56F"
"01GW8WTZ81GX2GZD4J6FT0QRD9","Manager","01GWFQ2GJ533W5R86V63SCH3GZ"
"01GWGMNEZMTP4SZQNTDJAKMRE3","Manager","01GWFQ2GJ60P8Z6HA7JY0SS0ZY"
"01GWGMNEZN2HDC0VQHC2Y9TMAX","Manager","01GWFQ2GJ6RCCE1E9QH4HCNVK8"
"01GWGMNEZN4R671S2SV9KFQNME","Manager","01GWFQ2GJ7PZX3B35JKXZGJY7M"
"01GWGMNEZN7AY1VX724N0FAAJQ","Manager","01GWFQ2GJ8DYX120Y9BV1QT5DA"
"01GWGMNEZNEJW4HHNSE1A5EAF4","Manager","01GWFQ2GJ987CB56Y8EDWTAAA1"
"01GWGMNEZNGNR2TRN2CMZSD2Q3","Manager","01GWFQ2GJC1ST1GASWT2BQS2ZP"
"01GWGMNEZNPA28S26RSZ0RVYS3","Security","01GW8WHMDTYZZ4KSTVJADA3CC0"
"01GWGMNEZNPFS403C2HD5G07Q8","Receptionist","01GW8WHMDW4579731MK3P6A7MQ"
"01GWGMNEZNSPGSCHE7QGNDPGPM","Chef","01GWFN948KYW9RF29CTAC08J5H"
"01GWGMNEZNT0Z61TREY2SR1FFF","Parking Attendant","01GWFN948J4PS2B8S3BEN295DC"
"01GWGMNEZNWM1TDBR1V2CX575J","Concierge","01GWFN948GRTE62RFGDWZAKCQK"
"01GWGMNEZP218NRX31G5KWD70Y","Porter","01GWFN948FBN593M591C8GFDCJ"
"01GWGMNEZPAVKED6ZK9W5Y4AQS","Security","01GWFN948EGZA087TBRFR1A3G6"
"01GWGMNEZPBV7GRDB4JQT59XQ6","Receptionist","01GWFN948DC5BP67EY38JH125E"
"01GWGMNEZPD03THC9179BNT1CB","Chef","01GWFN948CBAVGMHY751AXCQ58"
"01GWGMNEZPD8CA62A5W24CJ5FM","Parking Attendant","01GWFN948B5WFQSMD68AJRXD99"
"01GWGMNEZPDKARYNKHP1S73CEW","Concierge","01GWFN948A1GW7949HHW9365EB"
"01GWGMNEZPG0VXA7MWV4QZQZGZ","Porter","01GWFN9488XH2K5JEW12Y9PP2Q"
"01GWGMNEZPG4AJD1DWS17MD5SJ","Security","01GWFN9487PVWHQEE0HTH7R28F"
"01GWGMNEZPRF9FDMBQ994H6GAF","Receptionist","01GWFN9486GK6KN95TPXYX4DSW"
"01GWGMNEZPS2DJH3HTQR5JCWY2","Chef","01GWFN94853WZ4SNR0WMFQF2S5"
"01GWGMNEZPV01VCF6P3C7CCAB3","Parking Attendant","01GWFN94841BD38CRPB679CYRF"
"01GWGMNEZPX364CR996AFJWX4G","Concierge","01GWFN9482T15T85GESSPE9NQ4"
"01GWGMNEZPX42RM5V1KTM5NNHK","Security","01GWFN9481MVK5CP9JJG1SJKAP"
"01GWGMNEZPZYBTFGGMD25XPMX0","Receptionist","01GWFN94801GXR036J88PBBJCM"
"01GWGMNEZQ4CWNJJJ3HG4QGNHJ","Chef","01GWFN947YQ3DHXCVX2F0N6FJH"
"01GWGMNEZQMH5JTKEFHFF0J4Y4","Parking Attendant","01GWFN947XCFH8S777NDE043N3"
"01GWGMNEZQN9KN0AVTFHBGEWYV","Concierge","01GWFN947W24NNNN7EMZ7SPW0J"
"01GWGMNEZRPEX4V3SFJ244RXYJ","Porter","01GWFN947TBW85RD2JDJBR98KC"
"01GWGMNEZS4HSGY255X293PXD0","Security","01GWFN947RMFHPZADM8R03A1NB"
"01GWGMNEZS8Z6ZNC5R2T88B2Y0","Receptionist","01GWFN947Q7110F283K84WG49G"
"01GWGMNEZSJ19ZXV5K3CSN9XA7","Chef","01GWFN947NQ3SPXRNE783CP65Z"
"01GWGMNEZSS15J52BYWX2YWJEW","Parking Attendant","01GWFN947ME5Z77SZDA5MC0YPC"
"01GWGMNEZSZEJWAX2KAZXYDDF5","Concierge","01GWFQ2GJ039Z9GCX76T9AVE5B"
"01GWGMNEZSZQVJ3M00QFXF82ZG","Porter","01GWFQ2GJ19VWRP6FAKZ54E6B1"
"01GWJHYY0H7DM7DBESQP7JKS7P","Security","01GWFQ2GJ24N2SKWW0TE9ASGB8"
"01GWJHYY0H9DQ0WSB4RCMMEESC","Receptionist","01GWFQ2GJ2XR32JG34RDK92FJZ"
"01GWJHYY0H9WHDTVCCQQ2PQHHG","Chef","01GWFQ2GJ3PVFKKN6HDNC169G4"
"01GWJHYY0HAA8QQGSDG7W1CJRB","Parking Attendant","01GWFQ2GJ4J6RSJZXVE15WF3PK"
"01GWJHYY0HBGTRXTXKJHRDF16R","Concierge","01GWFQ2GJ54A5FR77Z3THZ3854"
"01GWJHYY0HDQ1F84BWBDE7GAB1","Porter","01GWFQ2GJ6306TDZXGWW0BVNHY"
"01GWJHYY0HFWETS2RPDMFWT3JW","Security","01GWFQ2GJ6REX6G5Q5BM3E98H6"
"01GWJHYY0HG8C8TQCC4KV74YN2","Receptionist","01GWFQ2GJ7Q03E7XK4P7HDZYQ5"
"01GWJHYY0J1Z1S047FHXJTVM9B","Chef","01GWFQ2GJ8FTCBAZFFV8Y2ESE9"
"01GWJHYY0J50N8DB4Y45S7KNS7","Parking Attendant","01GWFQ2GJ98A7RF0NT2ZJ4DX2H"
"01GWJHYY0JAMS2TQ15EVS8GH5H","Concierge","01GWFQ2GJC2SM39ZM5AJSA498N"
"01GWJHYY0JBE8XMSHG46D6QZCV","Porter","01GW8WHMDTJZHGN1NYMXC7DA1R"
"01GWJHYY0JE699MA9EZQYF25D5","Security","01GW8WHMDWFVBK8TBACB5NHHF7"
"01GWJHYY0JF5VAZ28P0N5H9KW3","Receptionist","01GWFN948KMDQT272F0FDRJZRB"
"01GWJHYY0JFJ2MX29VX30EY6JW","Chef","01GWFN948HY35EF50WCAF3AQJR"
"01GWJHYY0JKXRHD4P3NDE7494W","Parking Attendant","01GWFN948GMBE2EN6CHCK5F85V"
"01GWJHYY0JPZDBN1P8JKV2YB94","Concierge","01GWFN948F8H499EXDJC6B4A2S"
"01GWJHYY0JYNTY95SWTTGV0257","Porter","01GWFN948EEHXYZJ7AAJT5DGD1"
"01GWJHYY0K0S69D91F8PMEKH0M","Security","01GWFN948D9TE999N8MJBB2VMA"
"01GWJHYY0K1KFJPY66E8FEVT7J","Receptionist","01GWFN948C9397ZSWFX6BQ608R"
"01GWJHYY0K1TPWFMA360X76CYR","Chef","01GWFN948B53P4XQ6ZYNFSZN0A"
"01GWJHYY0K2QDRX4WEJ5J0Q2HK","Parking Attendant","01GWFN9489ZKHXZ4HDHDF3H9A4"
"01GWJHYY0K4ER26RA91XCCSP51","Concierge","01GWFN9488VRGNB1RKWQDYZVF5"
"01GWJHYY0K7R1G5GFQ0W43HWDP","Porter","01GWFN9487NQWTB3Z8QWF47GZP"
"01GWJHYY0K9HEQSJW5D6MX3795","Security","01GWFN9486GJ2T0K556Z1QHD3F"
"01GWJHYY0KARE2MASMWHK5BE4X","Receptionist","01GWFN94852R148PKCQ26XWPXC"
"01GWJHYY0KNSTM78ZV0QJ7PNG4","Chef","01GWFN9483ZPXTMQMHZY6QDH5Y"
